品番,1日目,2日目,3日目,4日目,5日目,6日目,7日目,8日目,9日目,10日目,11日目,12日目,13日目,14日目,15日目,16日目,17日目,18日目,19日目,20日目
BH012-275,100,0,0,0,481,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0
K3092-274,30,30,30,30,0,0,0,0,0,0,0,300,300,0,0,0,0,0,0,0
KB272-274,852,52,0,800,0,800,0,0,0,71,0,600,0,0,0,0,296,0,0,0
L2012-274,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0
L6202-274,1180,980,780,580,380,180,580,380,180,400,200,0,400,200,0,400,200,0,13,0
L7052-274,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,400,0,80,0
L7112-274,9,700,600,500,400,300,200,100,400,300,200,100,0,300,200,100,0,200,100,0
L8032-274,32,32,32,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF062-274,7,330,220,110,0,330,220,110,0,330,220,110,0,330,220,110,0,220,110,0
