品番,1日目,2日目,3日目,4日目,5日目,6日目,7日目,8日目,9日目,10日目,11日目,12日目,13日目,14日目,15日目,16日目,17日目,18日目,19日目,20日目
BH012-275,0,1700,1600,1500,1800,1500,1600,1500,1800,1500,1600,1500,1800,1600,1500,1500,1500,1500,1500,1500
K3092-274,0,0,0,270,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
KB272-274,1264,0,1400,0,800,1600,0,600,800,800,800,1400,0,800,800,800,800,800,800,600
L2012-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0
L6202-274,606,0,0,0,400,0,400,0,400,0,400,0,400,0,400,0,400,400,0,0
L7052-274,865,0,0,1200,0,0,600,600,0,1000,0,0,1200,0,0,1200,0,0,800,0
L7112-274,0,591,0,0,0,0,0,600,0,0,0,0,0,600,0,0,0,0,0,100
L8032-274,0,0,0,0,0,268,0,0,0,0,300,0,0,0,0,0,0,0,0,0
LF062-274,0,543,0,0,0,0,550,0,0,0,0,550,0,0,0,0,440,0,0,0
