日,総稼働時間,定時内,残業時間,段替え時間,生産時間,違反時間
1,960.0088961038962,960.0,0.00889610389617701,90,870.0088961038962,0
2,966.7075,960.0,6.707499999999982,90,876.7075,0
3,960.1463095238096,960.0,0.1463095238095775,60,900.1463095238096,0
4,960.1704545454545,960.0,0.1704545454545041,60,900.1704545454545,0
5,1191.5714285714287,960.0,231.57142857142867,120,1071.5714285714287,0
6,1142.0111904761907,960.0,182.01119047619068,90,1052.0111904761907,0
7,963.1636363636363,960.0,3.1636363636363285,90,873.1636363636363,0
8,1142.5833333333335,960.0,182.58333333333348,90,1052.5833333333335,0
9,1080.6969696969695,960.0,120.69696969696952,90,990.6969696969696,0
10,1021.2261904761906,960.0,61.226190476190595,60,961.2261904761906,0
11,1034.864393939394,960.0,74.86439393939395,120,914.864393939394,0
12,1178.1666666666667,960.0,218.16666666666674,90,1088.1666666666667,0
13,1014.530303030303,960.0,54.530303030303,90,924.530303030303,0
14,1175.8095238095239,960.0,215.80952380952385,90,1085.8095238095239,0
15,1087.5803030303032,960.0,127.58030303030318,120,967.5803030303031,0
16,1021.2261904761906,960.0,61.226190476190595,60,961.2261904761906,0
17,1139.280303030303,960.0,179.280303030303,120,1019.280303030303,0
18,960.1305952380953,960.0,0.13059523809533857,90,870.1305952380953,0
19,982.8199134199135,960.0,22.81991341991352,120,862.8199134199135,0
20,956.1103896103896,956.1103896103896,0.0,120,836.1103896103897,0
