品番,1日目,2日目,3日目,4日目,5日目,6日目,7日目,8日目,9日目,10日目,11日目,12日目,13日目,14日目,15日目,16日目,17日目,18日目,19日目,20日目
BH012-275,0.0,1440.0,1830.0,1330.0,1566.0,1448.0,1490.0,1818.0,1548.0,1510.0,1328.0,1692.0,1501.0,1667.0,1526.0,1406.0,1522.0,1597.0,1381.0,1500.0
K3092-274,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0
KB272-274,0.0,524.0,0.0,660.0,0.0,530.0,0.0,660.0,0.0,860.0,0.0,0.0,660.0,0.0,660.0,0.0,660.0,0.0,330.0,330.0
L2012-274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.0,0.0,0.0
L6202-274,1006.0,0.0,0.0,800.0,0.0,0.0,800.0,0.0,600.0,0.0,400.0,800.0,0.0,400.0,0.0,800.0,0.0,400.0,400.0,200.0
L7052-274,0.0,325.0,660.0,0.0,990.0,0.0,0.0,330.0,660.0,0.0,660.0,0.0,660.0,0.0,330.0,660.0,0.0,330.0,330.0,330.0
L7112-274,163.0,0.0,328.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,200.0,0.0,200.0,0.0,200.0,0.0
L8032-274,0.0,0.0,0.0,0.0,0.0,268.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LF062-274,0.0,433.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,440.0,0.0,0.0,0.0,330.0,0.0,0.0,330.0,0.0,0.0,110.0
