品番,1日目,2日目,3日目,4日目,5日目,6日目,7日目,8日目,9日目,10日目,11日目,12日目,13日目,14日目,15日目,16日目,17日目,18日目,19日目,20日目
BH012-275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K3092-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KB272-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L2012-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L6202-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L7052-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L7112-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L8032-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LF062-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
