品番,1日目,2日目,3日目,4日目,5日目,6日目,7日目,8日目,9日目,10日目,11日目,12日目,13日目,14日目,15日目,16日目,17日目,18日目,19日目,20日目
BH012-275,0,1400,1700,1500,1500,1500,1500,1700,1500,1500,1500,1700,1500,1600,1500,1500,1500,1500,1500,1500
K3092-274,0,0,0,0,270,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0
KB272-274,0,789,0,660,0,265,0,330,595,265,0,660,0,330,330,660,0,330,330,330
L2012-274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0
L6202-274,606,0,600,0,600,0,800,0,600,0,800,0,600,0,600,0,800,0,600,0
L7052-274,655,0,0,660,0,660,0,660,0,660,0,660,0,330,330,660,0,660,0,330
L7112-274,0,591,0,0,0,0,600,0,0,0,0,0,600,0,0,0,0,0,0,100
L8032-274,0,0,0,0,268,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
LF062-274,433,0,0,0,0,440,0,0,0,440,0,0,0,440,0,0,0,330,0,0
